acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,label,origin
0.414,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,0.748,244960,0.524,7BKLCZ1jbUBVqRi2FVlTVw,0,8,0.111,-5.599,1,0.0338,95.01,4,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,audio_features,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,0.635,0,Today's top songs
0.0373,https://api.spotify.com/v1/audio-analysis/1pKeFVVUOPjFsOABub0OaV,0.65,226160,0.728,1pKeFVVUOPjFsOABub0OaV,0,6,0.328,-5.914,0,0.232,159.167,4,https://api.spotify.com/v1/tracks/1pKeFVVUOPjFsOABub0OaV,audio_features,spotify:track:1pKeFVVUOPjFsOABub0OaV,0.624,0,Today's top songs
0.0771,https://api.spotify.com/v1/audio-analysis/0lYBSQXN6rCTvUZvg9S0lU,0.652,205947,0.713,0lYBSQXN6rCTvUZvg9S0lU,0.0000102,8,0.144,-5.311,1,0.0368,100.023,4,https://api.spotify.com/v1/tracks/0lYBSQXN6rCTvUZvg9S0lU,audio_features,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,0.147,0,Today's top songs
0.39,https://api.spotify.com/v1/audio-analysis/4Ce37cRWvM1vIGGynKcs22,0.712,181880,0.62,4Ce37cRWvM1vIGGynKcs22,0,4,0.0994,-4.187,1,0.0888,99.953,4,https://api.spotify.com/v1/tracks/4Ce37cRWvM1vIGGynKcs22,audio_features,spotify:track:4Ce37cRWvM1vIGGynKcs22,0.519,0,Today's top songs
0.0294,https://api.spotify.com/v1/audio-analysis/0prNGof3XqfTvNDxHonvdK,0.591,230227,0.741,0prNGof3XqfTvNDxHonvdK,0,0,0.11,-5.751,1,0.139,97.048,4,https://api.spotify.com/v1/tracks/0prNGof3XqfTvNDxHonvdK,audio_features,spotify:track:0prNGof3XqfTvNDxHonvdK,0.439,0,Today's top songs
0.109,https://api.spotify.com/v1/audio-analysis/23L5CiUhw2jV1OIMwthR3S,0.501,195707,0.519,23L5CiUhw2jV1OIMwthR3S,0,4,0.454,-5.88,0,0.0409,133.99,4,https://api.spotify.com/v1/tracks/23L5CiUhw2jV1OIMwthR3S,audio_features,spotify:track:23L5CiUhw2jV1OIMwthR3S,0.157,0,Today's top songs
0.055,https://api.spotify.com/v1/audio-analysis/7zsXy7vlHdItvUSH8EwQss,0.602,185360,0.797,7zsXy7vlHdItvUSH8EwQss,0,6,0.187,-5.084,0,0.0534,92.928,4,https://api.spotify.com/v1/tracks/7zsXy7vlHdItvUSH8EwQss,audio_features,spotify:track:7zsXy7vlHdItvUSH8EwQss,0.487,0,Today's top songs
0.128,https://api.spotify.com/v1/audio-analysis/1mSlftOO1dlDRXAyOE0Sbd,0.448,187973,0.817,1mSlftOO1dlDRXAyOE0Sbd,0,10,0.105,-4.069,0,0.386,83.015,4,https://api.spotify.com/v1/tracks/1mSlftOO1dlDRXAyOE0Sbd,audio_features,spotify:track:1mSlftOO1dlDRXAyOE0Sbd,0.718,0,Today's top songs
0.0358,https://api.spotify.com/v1/audio-analysis/52qH79XktzCUPkN0dlRbUs,0.592,218480,0.655,52qH79XktzCUPkN0dlRbUs,0,1,0.199,-8.385,1,0.244,84.849,4,https://api.spotify.com/v1/tracks/52qH79XktzCUPkN0dlRbUs,audio_features,spotify:track:52qH79XktzCUPkN0dlRbUs,0.628,0,Today's top songs
0.0109,https://api.spotify.com/v1/audio-analysis/3XIIOCu6B8PuGq5j61asEM,0.666,210893,0.723,3XIIOCu6B8PuGq5j61asEM,0.00047,1,0.0507,-6.164,1,0.268,192.024,4,https://api.spotify.com/v1/tracks/3XIIOCu6B8PuGq5j61asEM,audio_features,spotify:track:3XIIOCu6B8PuGq5j61asEM,0.731,0,Today's top songs
0.0118,https://api.spotify.com/v1/audio-analysis/3cNjgVBKTJ1SvKhunrCdVy,0.513,210580,0.768,3cNjgVBKTJ1SvKhunrCdVy,0.0000194,4,0.294,-4.868,0,0.0587,84.264,4,https://api.spotify.com/v1/tracks/3cNjgVBKTJ1SvKhunrCdVy,audio_features,spotify:track:3cNjgVBKTJ1SvKhunrCdVy,0.235,0,Today's top songs
0.042,https://api.spotify.com/v1/audio-analysis/3GBlLqIYgB8zWaeWDNJzdh,0.681,237760,0.708,3GBlLqIYgB8zWaeWDNJzdh,0.14,5,0.682,-6.019,0,0.0304,92.993,4,https://api.spotify.com/v1/tracks/3GBlLqIYgB8zWaeWDNJzdh,audio_features,spotify:track:3GBlLqIYgB8zWaeWDNJzdh,0.359,0,Today's top songs
0.621,https://api.spotify.com/v1/audio-analysis/37FXw5QGFN7uwwsLy8uAc0,0.728,217707,0.563,37FXw5QGFN7uwwsLy8uAc0,0,1,0.179,-8.053,0,0.134,100.017,4,https://api.spotify.com/v1/tracks/37FXw5QGFN7uwwsLy8uAc0,audio_features,spotify:track:37FXw5QGFN7uwwsLy8uAc0,0.35,0,Today's top songs
0.375,https://api.spotify.com/v1/audio-analysis/1Te8WIfLudxjHTr66BL0JK,0.738,196613,0.812,1Te8WIfLudxjHTr66BL0JK,0,1,0.276,-5.29,1,0.0495,118.004,4,https://api.spotify.com/v1/tracks/1Te8WIfLudxjHTr66BL0JK,audio_features,spotify:track:1Te8WIfLudxjHTr66BL0JK,0.684,0,Today's top songs
0.562,https://api.spotify.com/v1/audio-analysis/4nMlau89VAjmV7agkl7OY3,0.822,198001,0.544,4nMlau89VAjmV7agkl7OY3,0.000024,0,0.144,-6.797,1,0.0332,122.047,4,https://api.spotify.com/v1/tracks/4nMlau89VAjmV7agkl7OY3,audio_features,spotify:track:4nMlau89VAjmV7agkl7OY3,0.865,0,Today's top songs
0.0841,https://api.spotify.com/v1/audio-analysis/6i0V12jOa3mr6uu4WYhUBr,0.732,195920,0.396,6i0V12jOa3mr6uu4WYhUBr,0.0000358,4,0.105,-9.348,0,0.0286,90.024,4,https://api.spotify.com/v1/tracks/6i0V12jOa3mr6uu4WYhUBr,audio_features,spotify:track:6i0V12jOa3mr6uu4WYhUBr,0.547,0,Today's top songs
0.014,https://api.spotify.com/v1/audio-analysis/4qqArAiTPueDxIp7cf87h7,0.695,235827,0.672,4qqArAiTPueDxIp7cf87h7,0.0000844,1,0.0756,-6.109,0,0.0345,104.988,4,https://api.spotify.com/v1/tracks/4qqArAiTPueDxIp7cf87h7,audio_features,spotify:track:4qqArAiTPueDxIp7cf87h7,0.272,0,Today's top songs
0.123,https://api.spotify.com/v1/audio-analysis/5GQBDz6S6KuurT5GXFtfiV,0.749,171789,0.198,5GQBDz6S6KuurT5GXFtfiV,0.000451,5,0.0866,-11.747,1,0.323,95.084,4,https://api.spotify.com/v1/tracks/5GQBDz6S6KuurT5GXFtfiV,audio_features,spotify:track:5GQBDz6S6KuurT5GXFtfiV,0.366,0,Today's top songs
0.131,https://api.spotify.com/v1/audio-analysis/1oHCgpheYhmhQbhCmbhpWn,0.409,208733,0.686,1oHCgpheYhmhQbhCmbhpWn,0,11,0.11,-4.893,0,0.177,147.929,4,https://api.spotify.com/v1/tracks/1oHCgpheYhmhQbhCmbhpWn,audio_features,spotify:track:1oHCgpheYhmhQbhCmbhpWn,0.367,0,Today's top songs
0.157,https://api.spotify.com/v1/audio-analysis/1i1fxkWeaMmKEB4T7zqbzK,0.532,208373,0.869,1i1fxkWeaMmKEB4T7zqbzK,0.00508,11,0.136,-5.094,1,0.172,159.803,4,https://api.spotify.com/v1/tracks/1i1fxkWeaMmKEB4T7zqbzK,audio_features,spotify:track:1i1fxkWeaMmKEB4T7zqbzK,0.419,0,Today's top songs
0.0992,https://api.spotify.com/v1/audio-analysis/72xvRETEsd5hS1RfduciRi,0.681,162425,0.774,72xvRETEsd5hS1RfduciRi,0,1,0.35,-3.167,0,0.0787,102.924,4,https://api.spotify.com/v1/tracks/72xvRETEsd5hS1RfduciRi,audio_features,spotify:track:72xvRETEsd5hS1RfduciRi,0.289,0,Today's top songs
0.0747,https://api.spotify.com/v1/audio-analysis/3EVBx6WnnMj0qGpcPHjECA,0.671,208729,0.609,3EVBx6WnnMj0qGpcPHjECA,0,7,0.0958,-5.02,0,0.0508,120.054,4,https://api.spotify.com/v1/tracks/3EVBx6WnnMj0qGpcPHjECA,audio_features,spotify:track:3EVBx6WnnMj0qGpcPHjECA,0.38,0,Today's top songs
0.0812,https://api.spotify.com/v1/audio-analysis/0OwX5aROoW1Iip8FV51Efg,0.756,205593,0.589,0OwX5aROoW1Iip8FV51Efg,0,0,0.176,-5.093,1,0.232,146.928,4,https://api.spotify.com/v1/tracks/0OwX5aROoW1Iip8FV51Efg,audio_features,spotify:track:0OwX5aROoW1Iip8FV51Efg,0.817,0,Today's top songs
0.0935,https://api.spotify.com/v1/audio-analysis/1vvNmPOiUuyCbgWmtc6yfm,0.819,219160,0.913,1vvNmPOiUuyCbgWmtc6yfm,0.0000372,4,0.161,-3.059,0,0.0427,119.989,4,https://api.spotify.com/v1/tracks/1vvNmPOiUuyCbgWmtc6yfm,audio_features,spotify:track:1vvNmPOiUuyCbgWmtc6yfm,0.523,0,Today's top songs
0.0225,https://api.spotify.com/v1/audio-analysis/2CPqh63wRVscbceKcPxwvv,0.632,183414,0.575,2CPqh63wRVscbceKcPxwvv,0.00000181,5,0.104,-6.478,1,0.029,90.037,4,https://api.spotify.com/v1/tracks/2CPqh63wRVscbceKcPxwvv,audio_features,spotify:track:2CPqh63wRVscbceKcPxwvv,0.229,0,Today's top songs
0.0606,https://api.spotify.com/v1/audio-analysis/7fJtPlEZKxu6gvkfBFc5tW,0.804,263373,0.65,7fJtPlEZKxu6gvkfBFc5tW,0.0000705,7,0.102,-7.79,1,0.118,117.984,4,https://api.spotify.com/v1/tracks/7fJtPlEZKxu6gvkfBFc5tW,audio_features,spotify:track:7fJtPlEZKxu6gvkfBFc5tW,0.391,0,Today's top songs
0.0153,https://api.spotify.com/v1/audio-analysis/2meEiZKWkiN28gITzFwQo5,0.636,244453,0.728,2meEiZKWkiN28gITzFwQo5,0.00000146,9,0.154,-5.871,1,0.0999,107.986,4,https://api.spotify.com/v1/tracks/2meEiZKWkiN28gITzFwQo5,audio_features,spotify:track:2meEiZKWkiN28gITzFwQo5,0.384,0,Today's top songs
